omg;produktnamn;correct_row;turnover;utd13;utd12;utd11;utd10;ant13;ant12;ant11;ant10;count1;countx;count2;random_results;people_was_right;oddset_was_right;people_was_wrong;oddset_was_wrong;people_max_sum;oddset_max_sum;people_min_sum;oddset_min_sum;people_sum;oddset_sum;people_diff_sum;oddset_diff_sum;odds1_ok;odds2_ok;odds3_ok;people1_ok;people2_ok;people3_ok;id
202106;Stryktipset;12X1122121221;28252762;62783;808;52;16;117;3406;41722;283818;6;1;6;2;7;8;5;4;727;605;231;316;602;546;496;289;1;1;1;1;1;0;3869
202107;Stryktipset;21X21111X1221;28458955;672666;6718;345;78;11;413;6417;58773;7;2;4;0;6;6;4;4;755;612;222;315;513;477;533;297;0;1;0;1;0;0;3879
202108;Stryktipset;2X111X1X1122X;34402903;3250000;13229;700;149;4;263;3974;38878;6;4;3;0;5;5;4;4;715;578;254;336;461;441;461;242;0;1;0;1;0;0;3889
202109;Stryktipset;X22212111121X;29767559;84125;815;50;15;92;3559;46326;305204;6;2;5;1;9;8;3;3;716;617;254;314;583;523;462;303;1;0;1;1;0;1;3899
202110;Stryktipset;2212222X12112;29295812;1088130;10540;583;140;7;271;3915;33948;4;1;8;0;5;5;8;6;731;579;246;336;463;463;485;243;1;1;0;1;0;1;3940
202111;Stryktipset;21122X12XX21X;28140209;1463290;12303;571;126;5;223;3841;36253;4;4;5;0;4;4;3;3;756;647;227;288;475;471;529;359;1;0;0;0;1;1;3950
202112;Stryktipset;2XX2XXX222XX2;21911633;633002;4247;210;53;9;503;8137;66237;0;7;6;0;4;4;3;4;782;707;206;257;523;502;576;450;1;1;0;1;1;0;3960
202113;Stryktipset;212X22XX12212;32799555;43650;405;28;0;252;7885;89389;530078;3;3;7;0;10;9;1;1;750;677;234;272;616;558;516;405;1;1;0;1;1;1;3970
202114;Stryktipset;1211XX2X2112X;37764548;7556;95;0;0;2382;38557;276201;1159839;5;4;4;0;9;8;2;2;727;635;246;306;648;585;481;329;1;1;1;1;1;1;3980
202115;Stryktipset;11211121111X1;32647352;27993;211;18;0;643;15036;136330;679865;10;1;2;0;9;9;3;2;729;616;245;317;615;549;484;299;1;1;1;1;1;1;3990
202116;Stryktipset;21122X1111222;33661117;41961;312;24;0;335;10517;106972;573506;6;1;6;0;8;8;1;3;706;636;258;307;601;547;448;329;1;0;1;1;0;1;4000
202117;Stryktipset;1121X12X11X2X;33130054;741249;6071;373;94;19;532;6923;56974;6;4;3;0;5;5;4;5;656;570;282;346;482;475;374;224;1;1;0;1;1;0;4010
202118;Stryktipset;212X1XX111121;27101978;146802;1867;117;32;48;1415;18007;135749;7;3;3;0;6;6;3;4;760;691;233;275;555;520;527;416;1;1;1;1;1;1;4020
202119;Stryktipset;2X1111221X121;23292193;465843;5914;342;82;13;384;5307;45834;7;2;4;0;6;6;6;4;736;635;261;301;499;492;475;334;1;1;0;1;1;0;4032
202120;Stryktipset;11211211122X1;33722294;40476;315;25;0;420;10428;104527;572433;8;1;4;0;6;6;1;3;749;723;231;254;611;579;518;469;1;1;0;1;1;0;4040
202121;Stryktipset;211211X21XX11;20985653;312461;2207;136;37;35;927;12035;89935;7;3;3;0;6;5;4;4;731;602;248;312;532;480;483;290;1;1;1;1;1;0;4081
202122;Stryktipset;11XX2211X1X11;15719116;16154;247;20;0;253;6185;59502;311916;7;4;2;0;8;7;1;3;752;669;236;276;627;578;516;393;1;1;1;1;1;1;4091
202123;Stryktipset;211X121112111;15194118;101519;416;23;0;69;3559;50155;313982;9;1;3;0;9;9;2;1;775;726;210;239;631;607;565;487;0;1;1;0;1;1;4102
202124;Stryktipset;2X1211X122121;14239396;268316;1977;115;30;23;702;9605;75749;6;2;5;0;9;9;2;2;752;686;240;283;555;542;512;403;0;1;0;0;1;1;4111
202125;Stryktipset;122111X1X2XX1;16756019;484062;3590;178;43;9;455;7315;62560;6;4;3;0;7;7;2;2;791;735;211;238;544;532;580;497;1;1;1;1;1;1;4120
